Societe Camerounaise De Representation Automobile Et Commerciale - Socarac;7;Cameroon;Douala;;
SOCIETE CAMEROUNAISE DES METAUX ET PRODUITS DIVERS S A R L;5;Cameroon;;;
Societe De Distribution Du Centre Sarl - Sodic Sarl;35;Cameroon;Yaounde;;
Societe De Distribution Et Des Marques Au Cameroun - Sdmc;43;Cameroon;Yaounde;;
SOCIETE LA FAYETTE SARL;10;Cameroon;Douala;;
Societe Marketing And Business Center S A - M B C;10;Cameroon;Douala;;
;;;;;
1;;;;;
Company name;Number of employees;Country;City;;
Sodipac Sarl;2;Cameroon;Douala;;
SOGIDE DISTRIBUTION;;Cameroon;Douala;;
SONAL SARL;10;Cameroon;Douala;;
SOREL S A R L;10;Cameroon;;;
SOUAIBOU BELLO;3;Cameroon;;;
STE ACPROSEC SARL;25;Cameroon;Douala;;
Sunset Images Ltd;12;Cameroon;Bamenda;;
;;;;;
Company name;Number of employees;Country;City;;
Amarsons Collections Ltd - Romatex;10;Kenya;Nairobi;;
Brother Shirts Factory Ltd;60;Kenya;Nairobi;;
CHALANGE INDUSTRIES LTD ( PRIVATE );;Kenya;;;
DESBRO KENYA LTD;;Kenya;Nairobi;;
DESIGNTEX LTD;;Kenya;Mombasa;;
Heritage Mills Kenya Ltd;500;Kenya;Nairobi;;
JAR KENYA EXPORT PROCESSING ZONE LTD;4;Kenya;Nairobi;;
Johnson And Johnson (Kenya) Ltd - Johnsons;;Kenya;Nairobi;;
Ken Knit Kenya Ltd;63;Kenya;Eldoret;;
Kikoy Co K Ltd;6;Kenya;Nairobi;;
LAMSONS INDUSTRIES LTD;;Kenya;Mombasa;;
LE STUD LTD;;Kenya;Nairobi;;
LOCHAB BROTHERS LIMITED;;Kenya;Eldoret;;
MIGOTIYO PLANTATIONS LIMITED;200;Kenya;Nairobi;;
Nairobi Representative Office Of Mitsubishi Corporation;20;Kenya;Nairobi,;;
NAKURU INDUSTRIES LTD;380;Kenya;Nakuru;;
Sunflag Textile And Knitwear Mills Limited;2500;Kenya;Nairobi;;
TEXCHEM LTD;;Kenya;Nairobi;;
THE RAYMOND WOLLEN MILLS ( KENYA ) LTD ( PRIVATE );;Kenya;;;
The United Textile Industries Kenya Ltd;400;Kenya;Nairobi;;
UNITED ARYAN (EPZ) LTD;9500;Kenya;Nairobi;;
Wax And Polypack Ltd;60;Kenya;Nairobi;;
WILD ELEGANCE FASHIONS LTD;110;Kenya;;;
;;;;;
Company name;Number of employees;Country;City;;
SPILO (PTY) LTD;;South Africa;Paarl;;
THE FABRIC LIBRARY (PTY) LTD;55;South Africa;Halfway House;;
Wellington Industries (Pty) Ltd - Table Bay Spinners;65;South Africa;Cape Town;;
;;;;;
Company name;Number of employees;Country;City;;
4AC;150;Morocco;Tanger;;
AUTOMATIC BRAIDING;80;Morocco;Sidi Moussa El Majdoub;;
AZBATEX;51;Morocco;Mohammedia;;
BERICOLOR;304;Morocco;Casablanca;;
CASUAL PANT;255;Morocco;Casablanca;;
Confection Generale Oued Dahab - Cogenod;150;Morocco;Tanger-Medina (Ar);;
DIATEX;150;Morocco;Casablanca;;
ETS NIDAM BELLAMINE;51;Morocco;Casablanca;;
Filature Du Bogas - Bogafil;51;Morocco;Tanger;;
FILMOD;51;Morocco;Casablanca;;
FLOU;20;Morocco;Casablanca;;
FREEMODE SARL;206;Morocco;Casablanca;;
GLOBAL DIFFUSION;400;Morocco;Casablanca;;
Industrie Cotonniere Du Maroc - Icoma;101;Morocco;Mohammedia;;
Industries Textiles Sarl - Intex;150;Morocco;Tanger;;
JAY TRADING LTD;100;Morocco;Tanger;;
